25,প্রগতিশীল মহিলা সমিতি কমিউনিটি হল নির্মাণৰ বাবদ,,,,200000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
26,ইনথেম গাঁওবুঢ়া তিনিআলিত যাত্রী জিৰণী কক্ষ নির্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
27,নামচাই কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
28,নৱজ্যোতি যুবক সংঘ কমিউনিটি হল নিৰ্মাণৰ বাবদ,,,,150000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
29,১নং কুঁহিয়াৰবাৰী বাসন্তী কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
30,হিন্দু-বৌদ্ধিশ শ্মশানৰ জিৰণী কক্ষ নির্মাণৰ বাবদ,,,,200000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
31,পাৱৈ চেন্টাৰ ৰাধা কৃষ্ণ মন্দিৰ কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
32,চিৰুগাঁও কমিউনিটি হল নির্মাণৰ বাবদ,,,,300000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
33,চিমাপথাৰ ডাঙৰীয়া মন্দিৰ কমিউনিটি হল নির্মাণৰ বাবদ,,,,200000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
34,নিজমাকুম এম.ই. আৰু হাইস্কুলৰ পকীৰেৰ নিৰ্মাণৰ বাবদ,,,,400000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
35,৬নং মাঘেৰিটা চাহ বাগিছা কালী মন্দিৰৰ কাষত কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
36,ডিৰক ৬ নং লাইনত কমিউনিটি হল নির্মাণৰ বাবদ,,,,100000,2016-17,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
