"FORM 20 FINAL RESULT SHEET
ELECTION TO THE LEGISLATIVE ASSEMBLY
Total No. of Electors in Assembly Constituency/segment       240796 Name of Assembly/segment ...68-DALGAON Assembly Election",,,,,,,,,,,
Serial No. Of Polling Station,,No of Valid Votes Cast in favour of,,,,,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes
,,ILIAS ALI,MAZIBUR RAHMAN,HABIBAR RAHMAN,SAIFUL HOQUE,ARAB ALI,,,,,
122,101,133,63,113,3,4,316,0,3,319,0
123,102,255,105,256,7,13,636,0,12,648,0
124,103,213,145,81,8,4,451,0,8,459,0
125,104,223,69,123,4,3,422,0,9,431,0
126,105,28,34,440,5,4,511,0,11,522,0
127,106,33,15,367,4,2,421,0,10,431,0
128,107,68,71,381,8,5,533,0,6,539,0
129,108,174,73,190,6,8,451,0,12,463,0
130,109,50,18,490,7,0,565,0,4,569,0
131,110,25,4,501,5,4,539,0,3,542,0
132,111,104,340,250,18,0,712,0,7,719,0
133,112,165,232,204,10,4,615,0,2,617,0
134,113,54,70,325,4,3,456,0,1,457,0
135,114,57,11,375,8,0,451,0,0,451,0
136,115,82,153,69,2,2,308,0,1,309,0
137,116,132,231,423,4,7,797,0,5,802,0
138,117,265,68,105,14,12,464,0,12,476,0
139,118,160,212,275,11,11,669,0,12,681,0
140,119,80,70,393,11,7,561,0,11,572,0
141,120,209,88,20,40,13,370,0,8,378,0
142,121,259,110,9,30,3,411,0,9,420,0
143,122,255,471,53,8,3,790,0,5,795,0
144,123,125,296,235,8,5,669,0,9,678,0
145,124,43,78,423,10,1,555,0,4,559,0
146,125,190,335,352,9,5,891,0,8,899,0
147,126,187,180,360,10,3,740,0,8,748,0
148,127,48,22,352,7,6,435,0,7,442,0
149,127(A),23,24,295,7,7,356,0,6,362,0
150,128,56,97,540,9,6,708,0,12,720,0
151,129,100,108,264,3,5,480,0,3,483,0
152,129(A),75,32,257,2,6,372,0,11,383,0
153,130,142,634,1,9,5,791,0,4,795,0
154,131,140,588,9,9,4,750,0,9,759,0
155,132,264,542,65,6,7,884,0,2,886,0
156,133,41,81,359,11,6,498,0,9,507,0
157,134,39,39,310,7,8,403,0,11,414,0
158,135,277,371,172,5,4,829,0,9,838,0
159,136,151,198,103,5,4,461,0,10,471,0
160,136(A),40,333,91,1,3,468,0,2,470,0
161,137,107,373,106,6,11,603,0,1,604,0
162,138,138,488,4,2,2,634,0,7,641,0
163,139,133,255,356,5,4,753,0,7,760,0
164,140,107,314,239,7,7,674,0,4,678,0
165,141,192,499,73,6,3,773,0,4,777,0
166,142,173,403,129,7,4,716,0,6,722,0
167,143,130,75,346,10,2,563,0,11,574,0
168,144,137,169,208,4,11,529,0,11,540,0
169,145,155,95,287,3,4,544,0,6,550,0
170,146,190,221,190,2,2,605,0,8,613,0
171,147,195,323,3,1,4,526,0,2,528,0
172,147(A),114,332,5,2,15,468,0,2,470,0
173,148,176,346,7,2,5,536,0,7,543,0
174,148(A),121,323,1,2,1,448,0,2,450,0
175,149,236,606,10,12,58,922,0,10,932,0
176,150,261,534,5,7,5,812,0,9,821,0
177,151,177,343,2,8,0,530,0,3,533,0
178,151(A),147,336,2,4,0,489,0,1,490,0
179,152,76,437,2,4,0,519,0,2,521,0
180,152(A),135,438,3,1,0,577,0,1,578,0
181,153,125,421,6,4,2,558,0,4,562,0
182,153(A),97,342,5,4,1,449,0,1,450,0
183,154,147,348,7,3,1,506,0,2,508,0
184,154(A),107,350,0,1,1,459,0,1,460,0
185,155,179,361,8,6,4,558,0,2,560,0
186,155(A),94,398,9,5,2,508,0,8,516,0
187,156,124,477,5,2,2,610,0,3,613,0
188,156(A),109,289,0,0,2,400,0,1,401,0
189,157,245,525,0,3,2,775,0,0,775,0
190,158,218,526,9,5,0,758,0,3,761,0
191,159,444,86,0,1,1,532,0,1,533,0
192,159(A),263,182,1,2,2,450,0,3,453,0
193,160,273,398,6,6,1,684,0,1,685,0
194,161,342,307,4,4,2,659,0,4,663,0
195,162,153,430,4,6,0,593,0,0,593,0
196,162(A),99,466,1,2,0,568,0,3,571,0
197,163,237,431,5,8,4,685,0,0,685,0
198,164,194,356,7,3,3,563,0,4,567,0
199,165,137,369,10,5,2,523,0,5,528,0
200,165(A),98,403,3,5,0,509,0,2,511,0
201,166,167,389,4,4,2,566,0,2,568,0
202,166(A),184,272,6,12,4,478,0,11,489,0
203,167,188,332,7,5,0,532,0,5,537,0
204,167(A),231,289,2,3,0,525,0,5,530,0
205,168,431,349,12,7,8,807,0,8,815,0
206,169,231,517,11,3,5,767,0,5,772,0
207,170,137,375,14,1,4,531,0,1,532,0
208,170(A),184,191,91,7,0,473,0,3,476,0
209,171,257,261,10,6,1,535,0,1,536,0
210,171(A),285,258,9,1,2,555,0,3,558,0
211,172,191,311,1,5,1,509,0,2,511,0
212,172(A),150,315,3,2,0,470,0,0,470,0
213,173,121,359,4,3,4,491,0,1,492,0
214,173(A),81,392,3,6,1,483,0,3,486,0
215,174,201,417,5,3,2,628,0,1,629,0
216,175,171,469,3,4,4,651,0,0,651,0
217,176,225,617,6,1,3,852,0,5,857,0
218,177,151,50,471,4,2,678,0,9,687,0
219,178,99,25,323,2,1,450,0,14,464,0
220,179,144,47,511,3,0,705,0,6,711,0
221,180,223,62,342,1,2,630,0,11,641,0
222,181,169,67,286,2,1,525,0,7,532,0
223,181(A),99,30,348,5,0,482,0,6,488,0
224,182,118,20,605,1,0,744,0,12,756,0
225,183,135,98,436,4,3,676,0,16,692,0
226,184,96,197,130,1,1,425,0,2,427,0
227,184(A),80,92,249,2,2,425,0,3,428,0
228,185,206,96,386,2,3,693,0,12,705,0
229,186,148,40,469,6,4,667,0,11,678,0
230,187,97,8,369,3,0,477,0,8,485,0
231,187(A),168,17,269,6,4,464,0,8,472,0
232,188,199,318,126,1,0,644,0,6,650,0
233,189,153,99,264,3,4,523,0,13,536,0
234,190,186,21,465,3,1,676,0,4,680,0
235,191,225,22,424,7,0,678,0,16,694,0
236,192,180,22,433,3,2,640,0,7,647,0
237,193,92,44,458,4,0,598,0,13,611,0
238,194,85,467,3,5,1,561,0,5,566,0
239,194(A),137,392,2,5,1,537,0,4,541,0
240,195,199,334,7,0,0,540,0,3,543,0
241,196,166,296,8,5,0,475,0,2,477,0
242,197,216,466,6,3,1,692,0,4,696,0
243,198,251,364,6,5,1,627,0,10,637,0
244,199,248,223,10,5,10,496,0,2,498,0
245,199(A),146,302,5,6,0,459,0,2,461,0
246,200,273,612,13,6,4,908,0,7,915,0
247,201,141,353,0,4,0,498,0,4,502,0
248,201(A),118,344,5,5,2,474,0,6,480,0
249,202,265,419,98,7,2,791,0,7,798,0
250,203,155,278,33,1,3,470,0,9,479,0
251,203(A),73,145,185,8,4,415,0,3,418,0
252,204,127,253,333,3,3,719,0,11,730,0
253,205,122,162,453,8,2,747,0,2,749,0
254,206,248,391,2,3,1,645,0,7,652,0
255,207,180,401,5,3,4,593,0,5,598,0
256,208,235,284,12,6,0,537,0,3,540,0
257,208(A),162,321,3,3,2,491,0,4,495,0
258,209,116,396,3,4,1,520,0,0,520,0
259,209(A),155,328,2,3,2,490,0,2,492,0
260,210,297,565,14,3,1,880,0,2,882,0
261,211,347,430,6,5,3,791,0,3,794,0
262,212,254,272,7,9,2,544,0,4,548,0
263,212(A),274,242,5,2,3,526,0,5,531,0
264,213,267,285,2,4,2,560,0,6,566,0
265,213(A),181,323,5,2,0,511,0,1,512,0
266,214,145,377,6,4,0,532,0,4,536,0
267,214(A),235,277,1,7,3,523,0,5,528,0
268,215,188,325,7,5,3,528,0,7,535,0
269,215(A),162,325,9,5,1,502,0,6,508,0
270,216,129,580,4,3,3,719,0,4,723,0
271,217,39,580,3,9,2,633,0,2,635,0
272,218,169,682,8,13,0,872,0,3,875,0
273,219,185,610,14,6,1,816,0,3,819,0
274,220,255,560,10,0,1,826,0,4,830,0
275,221,155,314,6,4,6,485,0,1,486,0
276,222,83,449,9,3,0,544,0,3,547,0
277,222(A),76,415,5,8,1,505,0,8,513,0
278,223,215,299,3,1,0,518,0,0,518,0
279,223(A),114,382,1,4,1,502,0,0,502,0
280,224,122,399,3,3,1,528,0,0,528,0
281,224(A),197,298,1,1,1,498,0,0,498,0
282,225,205,599,15,8,3,830,0,0,830,0
283,226,305,278,4,7,6,600,0,4,604,0
284,226(A),225,290,3,3,1,522,0,1,523,0
285,227,196,408,3,4,2,613,0,2,615,0
286,227(A),151,374,4,6,1,536,0,2,538,0
287,228,241,428,5,4,4,682,0,5,687,0
288,229,242,582,8,6,2,840,0,3,843,0
289,230,288,537,15,14,6,860,0,12,872,0
290,231,140,400,10,8,16,574,0,7,581,0
291,231(A),215,286,13,2,4,520,0,4,524,0
292,232,157,273,28,1,7,466,0,2,468,0
293,233,136,418,32,4,6,596,0,2,598,0
294,234,305,569,5,6,5,890,0,9,899,0
295,235,204,740,11,5,5,965,0,3,968,0
296,236,134,374,5,5,4,522,0,4,526,0
297,236(A),70,376,22,7,3,478,0,3,481,0
298,237,241,296,280,6,12,835,0,6,841,0
299,238,155,243,312,8,7,725,0,12,737,0
300,239,52,376,195,5,6,634,0,4,638,0
301,239(A),75,404,120,7,16,622,0,8,630,0
302,240,168,42,530,7,6,753,0,14,767,0
303,241,42,110,223,10,1,386,0,6,392,0
304,241(A),70,34,220,5,6,335,0,7,342,0
305,242,180,617,82,7,5,891,0,3,894,0
306,243,82,512,3,6,3,606,0,2,608,0
307,244,160,419,5,0,0,584,0,1,585,0
308,245,234,393,9,4,4,644,0,3,647,0
309,246,192,440,6,5,2,645,0,3,648,0
310,247,290,506,5,8,5,814,0,4,818,0
311,248,141,408,10,3,1,563,0,6,569,0
312,249,107,396,2,11,0,516,0,0,516,0
313,250,316,450,7,1,0,774,0,2,776,0
314,251,317,348,2,1,2,670,0,10,680,0
315,252,212,437,8,4,1,662,0,4,666,0
316,253,75,65,289,10,2,441,0,1,442,0
317,254,103,214,180,5,1,503,0,2,505,0
318,255,88,228,215,8,2,541,0,2,543,0
319,256,121,274,105,4,1,505,0,9,514,0
320,257,79,429,8,7,0,523,0,0,523,0
321,257(A),167,264,36,3,1,471,0,3,474,0
322,258,247,438,20,3,3,711,0,4,715,0
323,259,215,392,28,1,12,648,0,7,655,0
324,260,115,94,288,11,7,515,0,10,525,0
325,261,86,63,325,4,3,481,0,4,485,0
326,262,199,266,271,8,7,751,0,11,762,0
327,263,210,342,140,2,3,697,0,4,701,0
328,264,354,308,12,2,3,679,0,15,694,0
329,265,297,190,4,4,3,498,0,4,502,0
330,265(A),171,254,4,4,2,435,0,1,436,0
331,266,293,530,12,6,2,843,0,8,851,0
332,267,146,549,2,2,0,699,0,3,702,0
333,268,248,396,3,8,1,656,0,3,659,0
334,269,380,507,19,7,3,916,0,2,918,0
335,270,173,627,8,14,3,825,0,5,830,0
336,271,97,379,0,5,0,481,0,0,481,0
337,271(A),62,321,57,2,3,445,0,3,448,0
338,272,199,282,39,2,2,524,0,1,525,0
339,273,258,240,3,3,0,504,0,2,506,0
340,274,192,573,5,6,2,778,0,5,783,0
341,275,176,605,6,5,3,795,0,4,799,0
342,276,359,503,27,8,4,901,0,5,906,0
343,277,122,385,2,2,0,511,0,1,512,0
344,277(A),197,283,3,7,1,491,0,4,495,0
Total EVM Votes,,62549,117914,28223,1795,1219,211700,0,1676,213376,0
Total Postal Ballot Votes,,410,428,121,16,8,983,93,13,1089,0
Total Votes Polled,,62959,118342,28344,1811,1227,212683,93,1689,214465,0
